#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/favero/.local/bin/metaphlan -t rel_ab_w_read_stats --unclassified_estimation 5AD-6m_S6_Buone_R1.fastq,5AD-6m_S6_Buone_R2.fastq --bowtie2out 5AD-6m_S6.bowtie2.bz2 --nproc 22 --input_type fastq -o 5AD-6m_S6.metaphlan.txt
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:221810504
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827	2|1239||	0.09015	0.01576	169210
k__Bacteria|p__Firmicutes|c__CFGB9960|o__OFGB9960	2|1239||	0.08578	0.01499	199695
k__Bacteria|p__Firmicutes|c__CFGB28755|o__OFGB28755	2|1239||	0.07628	0.01333	356510
k__Bacteria|p__Firmicutes|c__CFGB9658|o__OFGB9658	2|1239||	0.07097	0.0124	197460
k__Bacteria|p__Bacteroidetes|c__CFGB9384|o__OFGB9384	2|976||	0.05935	0.01037	105280
k__Bacteria|p__Firmicutes|c__CFGB10299|o__OFGB10299	2|1239||	0.04353	0.00761	68700
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	2|201174|1760|85007	0.04297	0.00751	92710
k__Bacteria|p__Firmicutes|c__CFGB9633|o__OFGB9633	2|1239||	0.04189	0.00732	121790
k__Bacteria|p__Firmicutes|c__CFGB8157|o__OFGB8157	2|1239||	0.02985	0.00522	49900
k__Bacteria|p__Firmicutes|c__CFGB9659|o__OFGB9659	2|1239||	0.02829	0.00495	100305
k__Bacteria|p__Firmicutes|c__CFGB9650|o__OFGB9650	2|1239||	0.02181	0.00381	52600
k__Bacteria|p__Firmicutes|c__CFGB9990|o__OFGB9990	2|1239||	0.02148	0.00376	58755
k__Bacteria|p__Firmicutes|c__CFGB28800|o__OFGB28800	2|1239||	0.02108	0.00368	67185
k__Bacteria|p__Firmicutes|c__CFGB9850|o__OFGB9850	2|1239||	0.0183	0.0032	41280
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	2|544448|31969|186329	0.01482	0.00259	24490
k__Bacteria|p__Firmicutes|c__CFGB9639|o__OFGB9639	2|1239||	0.01324	0.00231	46555
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644|o__OFGB9644	2|35929085||	0.00866	0.00151	29120
k__Bacteria|p__Firmicutes|c__CFGB10340|o__OFGB10340	2|1239||	0.00748	0.00131	13455
k__Bacteria|p__Firmicutes|c__CFGB10253|o__OFGB10253	2|1239||	0.00734	0.00128	11010
k__Bacteria|p__Firmicutes|c__CFGB11371|o__OFGB11371	2|1239||	0.00625	0.00109	14630
k__Bacteria|p__Firmicutes|c__CFGB10349|o__OFGB10349	2|1239||	0.00603	0.00105	15450
k__Bacteria|p__Firmicutes|c__CFGB9510|o__OFGB9510	2|1239||	0.00597	0.00104	7535
k__Bacteria|p__Firmicutes|c__CFGB31439|o__OFGB31439	2|1239||	0.00593	0.00104	8165
k__Bacteria|p__Firmicutes|c__CFGB9506|o__OFGB9506	2|1239||	0.00463	0.00081	7225
k__Bacteria|p__Firmicutes|c__CFGB9516|o__OFGB9516	2|1239||	0.00273	0.00048	4790
