#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/favero/.local/bin/metaphlan -t rel_ab_w_read_stats --unclassified_estimation 10WT-6m_S4_Buone_R1.fastq,10WT-6m_S4_Buone_R2.fastq --bowtie2out 10WT-6m_S4.bowtie2.bz2 --nproc 22 --input_type fastq -o 10WT-6m_S4.metaphlan.txt
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:193863520
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria|p__Firmicutes|c__CFGB9639|o__OFGB9639	2|1239||	0.03951	0.00674	135560
k__Bacteria|p__Firmicutes|c__CFGB9990|o__OFGB9990	2|1239||	0.03639	0.00621	97125
k__Bacteria|p__Firmicutes|c__CFGB28398|o__OFGB28398	2|1239||	0.03543	0.00604	51435
k__Bacteria|p__Firmicutes|c__CFGB9660|o__OFGB9660	2|1239||	0.03261	0.00556	107865
k__Bacteria|p__Firmicutes|c__CFGB28941|o__OFGB28941	2|1239||	0.02964	0.00506	83805
k__Bacteria|p__Firmicutes|c__CFGB9629|o__OFGB9629	2|1239||	0.02756	0.0047	67695
k__Bacteria|p__Firmicutes|c__CFGB10253|o__OFGB10253	2|1239||	0.02212	0.00377	32400
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales	2|201174|1760|85011	0.01937	0.0033	31760
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.01556	0.00265	38735
k__Bacteria|p__Firmicutes|c__CFGB9850|o__OFGB9850	2|1239||	0.01343	0.00229	29565
k__Bacteria|p__Bacteroidetes|c__CFGB10197|o__OFGB10197	2|976||	0.01293	0.00221	86185
k__Bacteria|p__Firmicutes|c__CFGB9512|o__OFGB9512	2|1239||	0.01121	0.00191	15800
k__Bacteria|p__Firmicutes|c__CFGB9960|o__OFGB9960	2|1239||	0.01079	0.00184	24510
k__Bacteria|p__Firmicutes|c__CFGB31439|o__OFGB31439	2|1239||	0.01059	0.00181	14240
k__Bacteria|p__Firmicutes|c__CFGB9479|o__OFGB9479	2|1239||	0.0105	0.00179	36400
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.00934	0.00159	17550
k__Bacteria|p__Proteobacteria|c__CFGB9318|o__OFGB9318	2|1224||	0.00857	0.00146	0
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644|o__OFGB9644	2|35929085||	0.00821	0.0014	26925
k__Bacteria|p__Firmicutes|c__CFGB9517|o__OFGB9517	2|1239||	0.00598	0.00102	10720
k__Bacteria|p__Firmicutes|c__CFGB9510|o__OFGB9510	2|1239||	0.00276	0.00047	3395
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.00139	0.00024	4415
k__Bacteria|p__Firmicutes|c__CFGB9650|o__OFGB9650	2|1239||	0.00099	0.00017	2320
k__Bacteria|p__Firmicutes|c__CFGB9836|o__OFGB9836	2|1239||	0.00058	0.0001	1495
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	2|976|200643|171549|2005473	13.62921	2.32485	31812160
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	13.02172	2.22122	19022340
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified	2|976|200643|171549|	3.79116	0.64669	6415584
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	3.69128	0.62965	4857576
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	2.97585	0.50761	9183788
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	2.13038	0.3634	3642868
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	2.11773	0.36124	3781884
k__Bacteria|p__Bacteroidetes|c__CFGB9388|o__OFGB9388|f__FGB9388	2|976|||	0.75721	0.12916	1300888
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	0.66649	0.11369	1394428
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	2|1239|186801|186802|31979	0.65407	0.11157	1521436
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	2|1239|186801||	0.61263	0.1045	785016
k__Bacteria|p__Bacteroidetes|c__CFGB636|o__OFGB636|f__FGB636	2|976|||	0.51582	0.08799	934680
